WK_CODE	WK_NAAM
WK010911	Wijk 11 Steenwijksmoer
WK010912	Wijk 12 Nieuwe Krim
WK010913	Wijk 13 Weijerswold
WK010914	Wijk 14 Vlieghuis en Padhuis
WK010920	Wijk 20 Dalen
WK010930	Wijk 30 Oosterhesselen
WK010940	Wijk 40 Sleen
WK010950	Wijk 50 Zweeloo
WK011401	Wijk 01 Nieuw-Weerdinge
WK011402	Wijk 02 Roswinkel
WK011403	Wijk 03 Emmer-Compascuum
WK011404	Wijk 04 Barger-Compascuum
WK011405	Wijk 05 Nieuw-Dordrecht
WK011406	Wijk 06 Nieuw-Amsterdam
WK011407	Wijk 07 Erica
WK011408	Wijk 08 Klazienaveen
WK011409	Wijk 09 Zwartemeer
WK011410	Wijk 10 Schoonebeek
WK011413	Wijk 13 Veenoord
WK011421	Wijk 21 Nieuw-Schoonebeek
WK011432	Wijk 32 Weiteveen
WK011440	Wijk 40 Emmen-Centrum
WK011441	Wijk 41 Emmen-Centrum Oost
WK011442	Wijk 42 Emmermeer
WK011443	Wijk 43 Angelslo
WK011444	Wijk 44 Emmerhout
WK011445	Wijk 45 Emmerschans
WK011446	Wijk 46 Bargeres
WK011447	Wijk 47 Rietlanden
WK011448	Wijk 48 Parc Sandur
WK011449	Wijk 49 Delftlanden
WK011450	Wijk 50 Barger-Oosterveld
WK011451	Wijk 51 Kern Emmen Noord
WK011452	Wijk 52 Kern Emmen Zuid
WK011453	Wijk 53 Kern Emmen Industrieterreinen
WK011850	Wijk 50 Hoogeveen
WK011851	Wijk 51 De Weide
WK011852	Wijke 52 Fluitenberg
WK011853	Wijk 53 Elim
WK011854	Wijk 54 Hollandscheveld
WK011855	Wijk 55 Noordscheschut
WK011856	Wijk 56 Nieuwlande
WK011857	Wijk 57 Nieuweroord
WK011858	Wijk 58 Tiendeveen
WK011859	Wijk 59 Stuifzand
WK011860	Wijk 60 Pesse
WK011861	Wijk 61 Zuideropgaande Nieuw Moscou
WK011862	Wijk 62 Industrie- en verspreide gebieden
WK011900	Centrum
WK011901	Watertoren
WK011902	Haveltermade
WK011903	Koedijkslanden
WK011904	Berggierslanden
WK011905	Ezinge
WK011906	Oosterboer
WK011907	Nieuwveenselanden
WK011908	Blankenstein
WK011909	Industrieterrein Noord
WK011910	Industrie Oevers
WK011911	Verspreid gebied Meppel
WK011912	Nijeveen
WK011913	Rogat
WK014110	Binnenstad
WK014111	De Riet
WK014112	Noorderkwartier
WK014113	Sluitersveld
WK014114	Wierdense Hoek
WK014115	Nieuwstraat-Kwartier
WK014116	Ossenkoppelerhoek
WK014117	Hofkamp
WK014118	Schelfhorst
WK014119	Windmolenbroek
WK014120	Aadorp
WK014121	Bornerbroek
WK014700	Wijk 00 Borne
WK014701	Wijk 01 Buitengebied Borne
WK014801	Dalfsen
WK014802	Nieuwleusen
WK014803	Lemelerveld
WK015001	Binnenstad
WK015002	De Hoven
WK015003	Zandweerd
WK015004	Voorstad
WK015005	Borgele en Platvoet
WK015006	Keizerslanden
WK015007	Rivierenwijk en Bergweide
WK015008	Colmschate-Noord
WK015009	Colmschate-Vijfhoek
WK015010	Colmschate-Zuid
WK015011	Diepenveen
WK015012	Schalkhaar
WK015013	Okkenbroek
WK015014	Lettele
WK015015	Bathmen
WK015300	Wijk 00 Binnensingelgebied
WK015301	Wijk 01 Hogeland - Velve
WK015302	Wijk 02 Boswinkel - Stadsveld
WK015303	Wijk 03 Twekkelerveld - T.H.T.
WK015304	Wijk 04 Enschede-Noord
WK015305	Wijk 05 Ribbelt - Stokhorst
WK015306	Wijk 06 Enschede-Zuid
WK015307	Wijk 07 Bedrijfsterreinen Enschede-West
WK015308	Wijk 08 Glanerbrug en omgeving
WK015309	Wijk 09 Landelijk gebied en kernen
WK015800	Wijk 00 Haaksbergen (dorp)
WK015801	Wijk 01 Haaksbergen (buitengebied)
WK015802	Wijk 02 Sint Isidorushoeve
WK015803	Wijk 03 Buurse
WK015804	Wijk 04 Rietmolen
WK015805	Wijk 05 Hengevelde
WK015806	Wijk 06 Beckum
WK015809	Wijk 09 Haaksbergen-kern
WK016001	Ane
WK016002	Anerveen
WK016003	Anevelde
WK016004	Balkbrug
WK016005	Bergentheim
WK016006	Brucht
WK016007	Collendoorn
WK016008	De Krim
WK016009	Dedemsvaart
WK016010	Den Velde
WK016011	Diffelen
WK016012	Gramsbergen
WK016013	Heemserveen
WK016014	Holtheme
WK016015	Holthone
WK016016	Hoogenweg
WK016017	Kloosterhaar
WK016018	Loozen
WK016019	Lutten
WK016020	Marienberg
WK016021	Radewijk
WK016022	Rheeze
WK016023	Rheezerveen
WK016024	Schuinesloot
WK016025	Sibculo
WK016026	Slagharen
WK016027	Venebrugge
WK016028	Hardenberg
WK016029	Bruchterveld
WK016301	Wijk 01 Hellendoorn
WK016302	Wijk 02 Nijverdal Noord
WK016303	Wijk 03 Nijverdal West
WK016304	Wijk 04 Nijverdal Oost
WK016305	Wijk 05 Buitengebied
WK016306	Wijk 06 Kruidenwijk
WK016307	Wijk 07 Haarle
WK016308	Wijk 08 Daarle
WK016309	Wijk 09 Daarlerveen
WK016400	Wijk 00 Binnenstad
WK016401	Wijk 01 Hengelose Es
WK016402	Wijk 02 Noord
WK016403	Wijk 03 Hasseler Es
WK016404	Wijk 04 Groot Driene
WK016405	Wijk 05 Berflo Es
WK016406	Wijk 06 Wilderinkshoek
WK016407	Wijk 07 Woolde
WK016408	Wijk 08 Slangenbeek
WK016409	Wijk 09 Buitengebied
WK016600	Kampen
WK016602	Reeve
WK016603	IJsselmuiden
WK016604	Zalk
WK016605	Wilsum
WK016606	Grafhorst
WK016607	Kamperveen
WK016608	s-Heerenbroek
WK016609	Mastenbroek
WK016699	Groot water
WK016800	Wijk 00 Losser
WK016801	Wijk 01 Glane
WK016802	Wijk 02 Overdinkel
WK016803	Wijk 03 De Lutte
WK016804	Wijk 04 Beuningen
WK017101	Wijk 01 Emmeloord
WK017102	Wijk 02 Bant
WK017103	Wijk 03 Luttelgeest
WK017104	Wijk 04 Marknesse
WK017105	Wijk 05 Kraggenburg
WK017106	Wijk 06 Ens
WK017107	Wijk 07 Nagele
WK017108	Wijk 08 Tollebeek
WK017109	Wijk 09 Espel
WK017110	Wijk 10 Creil
WK017111	Wijk 11 Rutten
WK017112	Wijk 12 Schokland
WK017199	Groot water
WK017301	Wijk 01 Binnenstad
WK017302	Wijk 02 Het Inslag-De Kleies
WK017303	Wijk 03 Glinde-Hooiland
WK017304	Wijk 04 De Meijbree
WK017305	Wijk 05 Haerbroek-Scholtenhoek
WK017306	Wijk 06 Zuid-Berghuizen
WK017307	Wijk 07 Hanzepoort
WK017308	Wijk 08 Eekte-Hazewinkel
WK017309	Wijk 09 Jufferbeek
WK017310	Wijk 10 Het Hulsbeek
WK017311	Wijk 11 De Thij
WK017312	Wijk 12 De Graven Es
WK017313	Wijk 13 De Essen
WK017314	Wijk 14 Bekspring
WK017501	Ommen
WK017502	Arrien
WK017503	Beerze
WK017504	Beerzerveld
WK017505	Dalmsholte
WK017506	Giethmen
WK017507	Lemele
WK017508	Stegeren
WK017509	Vilsteren
WK017510	Vinkenbuurt
WK017511	Witharen
WK017701	Raalte
WK017702	Luttenberg
WK017703	Mariënheem
WK017704	Nieuw Heeten
WK017705	Heeten
WK017706	Broekland
WK017707	Heino
WK017708	Lierderholthuis
WK017709	Laag Zuthem
WK018000	Wijk 00 Staphorst (kern)
WK018001	Wijk 01 Rouveen (kern)
WK018002	Wijk 02 Rouveen (buitengebied)
WK018003	Wijk 03 Staphorst (buitengebied)
WK018004	Wijk 04 IJhorst
WK018005	Wijk 05 Punthorst
WK018006	Wijk 06 Lankhorst
WK018007	Wijk 07 Klooster
WK018300	Wijk 00 Tubbergen
WK018301	Wijk 01 Albergen
WK018302	Wijk 02 Harbrinkhoek
WK018303	Wijk 03 Geesteren
WK018304	Wijk 04 Langeveen
WK018305	Wijk 05 Vasse
WK018306	Wijk 06 Reutum
WK018307	Wijk 07 Fleringen
WK018400	Wijk 00 Urk
WK018499	Groot water
WK018900	Wijk 00 Wierden (kern)
WK018901	Wijk 01 Landelijk gebied Wierden
WK018902	Wijk 02 Hooge-Hexel
WK018903	Wijk 03 Enter (kern)
WK018904	Wijk 04 Landelijk gebied Enter
WK018905	Wijk 05 Rectum - Notter - Zuna
WK019310	Wijk 10 Binnenstad
WK019311	Wijk 11 Diezerpoort
WK019312	Wijk 12 Wipstrik
WK019313	Wijk 13 Assendorp
WK019314	Wijk 14 Kamperpoort-Veerallee
WK019320	Wijk 20 Poort van Zwolle
WK019321	Wijk 21 Westenholte
WK019322	Wijk 22 Stadshagen
WK019330	Wijk 30 Holtenbroek
WK019331	Wijk 31 Aa-landen
WK019332	Wijk 32 Vechtlanden
WK019340	Wijk 40 Berkum
WK019341	Wijk 41 Marsweteringlanden
WK019350	Wijk 50 Schelle
WK019351	Wijk 51 Ittersum
WK019352	Wijk 52 Soestweteringlanden
WK019701	Wijk 01 Buitengebied Aalten
WK019702	Wijk 02 Bredevoort
WK019703	Wijk 03 Aalten Kern
WK019704	Wijk 04 Dinxperlo
WK020001	Centrum
WK020002	West
WK020003	Zuidwest
WK020004	Zuid
WK020005	Zuidoost
WK020006	Oost
WK020007	Noordoost
WK020008	Noord
WK020010	Uddel en omgeving
WK020011	Hoog Soeren en Radio Kootwijk
WK020012	Hoenderloo en omgeving
WK020013	Loenen en omgeving
WK020014	Beekbergen en omgeving
WK020015	Lieren en omgeving
WK020016	Klarenbeek en omgeving
WK020017	Wenum Wiesel Beemte
WK020201	Centrum
WK020202	Spijkerkwartier
WK020203	Arnhemse Broek
WK020204	Presikhaaf-West
WK020205	Presikhaaf-Oost
WK020206	St. Marten/Sonsbeek
WK020207	Klarendal
WK020208	Velperweg e.o.
WK020209	Alteveer/Cranevelt
WK020210	Geitenkamp
WK020211	Monnikenhuizen
WK020212	Burgemeesterswijk/Hoogkamp
WK020213	Schaarsbergen
WK020214	Heijenoord/Lombok
WK020215	Klingelbeek e.o.
WK020216	Malburgen-West
WK020217	Malburgen-Oost (Noord)
WK020218	Malburgen-Oost (Zuid)
WK020219	Vredenburg/Kronenburg
WK020220	Elden
WK020221	Elderveld
WK020222	De Laar
WK020223	Rijkerswoerd
WK020224	Schuytgraaf
WK020354	Wijk 54 Barneveld
WK020355	Wijk 55 Voorthuizen
WK020356	Wijk 56 Kootwijkerbroek
WK020357	Wijk 57 Garderen
WK020358	Wijk 58 Terschuur
WK020359	Wijk 59 Stroe
WK020360	Wijk 60 Zwartebroek
WK020361	Wijk 61 De Glind
WK020362	Wijk 62 Kootwijk
WK020363	Wijk 63 Achterveld
WK020901	Beuningen
WK020902	Ewijk
WK020903	Weurt
WK020904	Winssen
WK021301	Wijk 01 Empe
WK021302	Wijk 02 Tonden
WK021303	Wijk 03 Brummen
WK021304	Wijk 04 Leuvenheim
WK021305	Wijk 05 Hall
WK021306	Wijk 06 Eerbeek
WK021400	Wijk 00 Buren
WK021401	Wijk 01 Beusichem
WK021402	Wijk 02 Zoelen
WK021403	Wijk 03 Lienden
WK021404	Wijk 04 Ingen
WK021405	Wijk 05 Maurik
WK021406	Wijk 06 Ravenswaaij
WK021600	Culemborg Oost
WK021601	Culemborg West
WK022101	Wijk 01
WK022201	Wijk 01 Doetinchem Centrum
WK022202	Wijk 02
WK022203	Wijk 03
WK022204	Wijk 04
WK022205	Wijk 05
WK022206	Wijk 06
WK022207	Wijk 07
WK022208	Wijk 08
WK022209	Wijk 09
WK022211	Wijk 11 Buitengebied Doetinchem
WK022231	Wijk 31 Wehl
WK022500	Druten
WK022501	Puiflijk
WK022502	Afferden
WK022503	Deest
WK022504	Horssen
WK022601	Wijk 01 Bedrijventerrein
WK022602	Wijk 02 Buitengebied
WK022603	Wijk 03 Duiven-Noord
WK022604	Wijk 04 Duiven-Zuid
WK022605	Wijk 05 Groessen
WK022606	Wijk 06 Loo
WK022801	Ede-Oost
WK022802	Ede-West
WK022803	Ede-Veldhuizen
WK022804	Kernhem
WK022805	Veluwse Poort
WK022810	Ede-Zuid
WK022811	Maandereng
WK022812	Rietkampen
WK022813	Bedrijventerrein
WK022820	Buitengebied Ede-Stad
WK022830	Bennekom
WK022840	Lunteren
WK022850	Ederveen
WK022860	De Klomp
WK022870	Harskamp
WK022880	Wekerom
WK022890	Otterlo
WK023001	Wijk 01 Elburg
WK023002	Wijk 02 't Harde
WK023003	Wijk 03 Doornspijk
WK023099	Groot water
WK023200	Wijk 00 Epe
WK023201	Wijk 01 Emst
WK023202	Wijk 02 Vaassen
WK023203	Wijk 03 Oene
WK023300	Schil rondom het centrum
WK023301	Centrum Ermelo
WK023302	Tonsel en Veldzicht
WK023303	Buitengebied west
WK023304	Buitengebied midden
WK023305	Buitengebied oost
WK023399	Groot water
WK024301	Binnenstad
WK024302	Waterfront
WK024303	Zeebuurt
WK024304	Friesegracht
WK024305	Stadsdennen
WK024306	De Sypel
WK024307	Stationsomgeving
WK024308	Stadsweiden
WK024309	Slingerbos
WK024310	Tweelingstad
WK024311	Frankrijk
WK024312	Drielanden
WK024313	Industrieterrein Lorentz
WK024314	Buitengebied Harderwijk
WK024315	Hierden
WK024399	Groot water
WK024400	Wijk 00 Hattem
WK024401	Wijk 01 Polder Hattem en Molecaten
WK024600	Wijk 00 Heerde
WK024601	Wijk 01 Wapenveld
WK025200	Wijk 00 Heumen
WK025201	Wijk 01 Overasselt
WK026200	Wijk 00 Lochem kern
WK026201	Wijk 01 Lochem buitengebied
WK026202	Wijk 02 Laren
WK026203	Wijk 03 Barchem
WK026204	Wijk 04 Gorssel
WK026205	Wijk 01 Almen-Harfsen
WK026300	Wijk 00 Kerkdriel
WK026301	Wijk 01 Ammerzoden
WK026302	Wijk 02 Hedel
WK026303	Wijk 03 Heerewaarden
WK026304	Wijk 04 Rossum
WK026701	Nijkerk-stad
WK026702	Appel, Driedorp, Kruishaar, Prinsenkamp en Slichtenhorst
WK026703	Nijkerkerveen en Holkerveen
WK026704	Arkemheen, Achterhoek, De Veenhuis
WK026705	Hoevelaken
WK026799	Groot water
WK026801	Nijmegen-Centrum
WK026802	Nijmegen-Oost
WK026803	Nijmegen-Oud-West
WK026804	Nijmegen-Nieuw-West
WK026805	Nijmegen-Midden
WK026806	Nijmegen-Zuid
WK026807	Dukenburg
WK026808	Lindenholt
WK026809	Nijmegen-Noord
WK026900	Wijk 00 Oldebroek
WK026901	Wijk 01 Wezep
WK026902	Wijk 02 Oosterwolde
WK026999	Groot water
WK027300	Wijk 00 Putten
WK027301	Wijk 01 Bosgebied en Krachtighuizen
WK027399	Groot water
WK027401	Renkum Zuid
WK027402	Renkum Noord
WK027403	Heelsum ten westen van de rijksweg
WK027404	Heelsum ten oosten van de rijksweg
WK027405	Wolfheze ten zuiden van het spoor
WK027406	Wolfheze ten noorden van het spoor
WK027407	Buitengebied Doorwerth
WK027408	Bebouwde kom Doorwerth
WK027409	Heveadorp
WK027410	Oosterbeek West
WK027411	Oosterbeek Zuidoost
WK027412	Oosterbeek Noordoost
WK027500	Wijk 00 Dieren
WK027501	Wijk 01 Rheden
WK027502	Wijk 02 Velp
WK027700	Wijk 00
WK027900	Wijk 00
WK028100	Tiel kern
WK028101	Tiel-Noord
WK028102	Wadenoijen en Kapel Avezaath
WK028103	Tiel-Zuid
WK028500	Wijk 00 Voorst
WK028501	Wijk 01 Twello-Nijbroek
WK028502	Wijk 02 Klarenbeek-Teuge
WK028503	Wijk 03 Wilp
WK028901	Noordwest
WK028902	Wageningen Universiteit
WK028903	De Weiden en Boomgaarden
WK028904	De Horsten
WK028905	Kortenoord
WK028906	De Buurt
WK028907	Boven- en Benedenbuurt
WK028908	Nude
WK028909	Centrum
WK028910	Veluvia-Hamelakkers
WK028911	Wageningen-Hoog
WK028912	Buitengebied
WK029300	Wijk 00
WK029400	Wijk 00 Stad
WK029401	Wijk 01 Land
WK029600	Wijk 00 Wijchen buitengebied
WK029601	Wijk 01 Wijchen kern
WK029602	Wijk 02 Balgoij
WK029603	Wijk 03 Batenburg
WK029604	Wijk 04 Bergharen
WK029605	Wijk 05 Hernen
WK029606	Wijk 06 Leur
WK029607	Wijk 07 Niftrik
WK029608	Wijk 08 Alverna
WK029700	Wijk 00 Zaltbommel
WK029701	Wijk 01 Brakel
WK029702	Wijk 02 Kerkwijk
WK029703	Wijk 03 Nederhemert
WK029900	Zevenaar
WK029901	Babberich
WK029902	Angerlo
WK029903	Giesbeek
WK029904	Lathum
WK029905	Rijnstrangen
WK029906	Pannerden
WK029907	Aerdt
WK029908	Herwen
WK029909	Lobith
WK029910	Tolkamer
WK029911	Spijk
WK030100	Wijk 00 Centrum - De Hoven
WK030101	Wijk 01 Waterkwartier
WK030102	Wijk 02 Noordveen
WK030103	Wijk 03 Zuidwijken
WK030104	Wijk 04 Leesten
WK030105	Wijk 05 Warnsveld
WK030200	Wijk 00 Nunspeet
WK030201	Wijk 01 Elspeet-Vierhouten
WK030299	Groot water
WK030301	Wijk 01 Dronten west
WK030302	Wijk 02 Dronten Noord
WK030303	Wijk 03 Dronten Midden
WK030304	Wijk 04 Dronten Zuid
WK030305	Wijk 05 Buitengebied Dronten
WK030306	Wijk 06 Biddinghuizen
WK030307	Wijk 07 Swifterbant
WK030399	Groot water
WK030701	Stadskern
WK030702	Nederberg
WK030703	Soesterkwartier
WK030704	Eemkwartier
WK030705	Isselt
WK030706	De Koppel
WK030707	Kruiskamp
WK030708	Schothorst-Zuid
WK030709	Schothorst-Noord
WK030710	Liendert
WK030711	Rustenburg
WK030712	Buitengebied-Oost
WK030713	Schuilenburg
WK030714	Randenbroek
WK030715	Vermeerkwartier
WK030716	Leusderkwartier
WK030717	De Berg-Zuid
WK030718	De Berg-Noord
WK030719	Hoogland
WK030720	Zielhorst
WK030721	Kattenbroek
WK030722	Calveen
WK030724	Nieuwland
WK030725	De Hoef
WK030726	Hooglanderveen
WK030727	Hoogland-West
WK030728	Vathorst-De Velden
WK030729	Vathorst-Centrum
WK030730	Vathorst-De Bron
WK030731	Vathorst-De Laak
WK030732	Vathorst-Bovenduist
WK030733	Bedrijventerrein Vathorst
WK030734	Bosgebied
WK030800	Wijk 00 Baarn
WK030801	Wijk 01 Baarn-Noord, Eemdal en Eemland
WK030802	Wijk 02 P.H.W.park
WK030804	Wijk 04 Buitengebied
WK030805	Wijk 05 Lage Vuursche
WK031001	Westbroek
WK031002	Hollandsche Rading
WK031003	Maartensdijk
WK031004	Groenekan
WK031005	De Leijen
WK031006	Bilthoven Noord
WK031007	Bilthoven Zuid Oost
WK031008	Bilthoven Zuid West
WK031009	De Bilt West
WK031010	De Bilt Oost
WK031200	Wijk 00 Bunnik
WK031201	Wijk 01 Odijk
WK031202	Wijk 02 Werkhoven
WK031300	Wijk 00
WK031399	Groot water
WK031702	Eemnes
WK031799	Groot water
WK032110	Houten Noord-West
WK032111	Houten Noord-Oost
WK032112	Houten Zuid-West
WK032113	Houten Zuid-Oost
WK032120	Houten Buitengebied
WK032130	't Goy
WK032131	't Goy Buitengebied
WK032140	Tull en 't Waal
WK032141	Tull en 't Waal Buitengebied
WK032150	Schalkwijk
WK032151	Schalkwijk Buitengebied
WK032700	Wijk 00 Leusden-Centrum Oost
WK032701	Wijk 01 Leusden-Centrum West
WK032702	Wijk 02 Leusden-Zuid
WK032703	Wijk 03 Achterveld
WK032704	Wijk 04 Stoutenburg
WK032705	Wijk 05 't Ruige Veld
WK033100	Wijk 00 Lopik, Benschop en Polsbroek
WK033500	Wijk 00
WK033501	Wijk 01 Linschoten
WK033502	Wijk 02 Willeskop
WK033900	Wijk 00
WK034000	Wijk 00 Rhenen
WK034001	Wijk 01 Rhenen Oost
WK034002	Wijk 02 Rhenen West
WK034003	Wijk 03 Rhenen Noord
WK034004	Wijk 04 Grebbeberg
WK034005	Wijk 05 Randzone
WK034006	Wijk 06 Binnenveld
WK034007	Wijk 07 Achterberg
WK034008	Wijk 08 Uiterwaarden Rhenen
WK034009	Wijk 09 Remmerden
WK034010	Wijk 10 Heuvelrug Rhenen
WK034011	Wijk 11 Heuvelrug Elst
WK034012	Wijk 12 Uiterwaarden Elst
WK034013	Wijk 13 Elst
WK034201	Wijk 01 't Hart-Soestdijk
WK034202	Wijk 02 Klaarwater
WK034203	Wijk 03 Boerenstreek
WK034204	Wijk 04 de Eng-Soest-Midden
WK034205	Wijk 05 Smitsveen
WK034206	Wijk 06 Overhees
WK034207	Wijk 07 Soest-Zuid
WK034208	Wijk 08 Soesterberg
WK034401	Wijk 01 West
WK034402	Wijk 02 Noordwest
WK034403	Wijk 03 Overvecht
WK034404	Wijk 04 Noordoost
WK034405	Wijk 05 Oost
WK034406	Wijk 06 Binnenstad
WK034407	Wijk 07 Zuid
WK034408	Wijk 08 Zuidwest
WK034409	Wijk 09 Leidsche Rijn
WK034410	Wijk 10 Vleuten-De Meern
WK034500	Centrum
WK034501	Noordoost
WK034502	Zuidoost
WK034503	Zuidwest
WK034504	Noordwest
WK034505	West
WK035100	Wijk 00 Woudenberg
WK035200	Wijk 00 Wijk bij Duurstede
WK035201	Wijk 01 Landelijk gebied
WK035202	Wijk 02 Cothen
WK035203	Wijk 03 Langbroek
WK035300	Wijk 00 IJsselstein
WK035501	Zeist Centrum
WK035502	Zeist-Noord
WK035503	Zeist-West
WK035504	Zeist-Oost
WK035505	Den Dolder e.o.
WK035601	Jutphaas Wijkersloot
WK035602	Zuilenstein
WK035603	Batau Zuid
WK035604	Batau Noord
WK035605	Doorslag
WK035606	Huis de Geer
WK035607	Blokhoeve
WK035608	Galecop
WK035610	Fokkesteeg
WK035611	Hoogzandveld
WK035612	Lekboulevard
WK035613	Vreeswijk
WK035614	Merwestein
WK035615	Park Oudegein
WK035616	Zandveld
WK035618	Het Klooster
WK035620	Laagraven
WK035621	Plettenburg
WK035622	De Wiers
WK035623	Hoge Landen
WK035624	Stadscentrum
WK035625	Rijnhuizen
WK035800	Wijk 00 Aalsmeer
