kvknummer,sbicode,vestigingsnummer
41081034,Overige paramedische praktijken (geen fysiotherapie en psychologie) en alternatieve genezers (86.91.9),000030318483
41081034,Verzorgingshuizen (87.30.2),000030318483
41081034,Thuiszorg (88.10.1),000030318483
41081034,Verpleeghuizen (87.10),000030318475
41081034,Praktijken van fysiotherapeuten (86.91.2),000030318475
41081034,"Praktijken van psychotherapeuten, psychologen en pedagogen (86.91.3)",000030318475
41081034,Overige paramedische praktijken (geen fysiotherapie en psychologie) en alternatieve genezers (86.91.9),000030318475
41081034,Verzorgingshuizen (87.30.2),000030318475
41081034,Thuiszorg (88.10.1),000030318475
41081034,Verpleeghuizen (87.10),000030318459
41081034,Praktijken van fysiotherapeuten (86.91.2),000030318459
41081034,"Praktijken van psychotherapeuten, psychologen en pedagogen (86.91.3)",000030318459
41081034,Overige paramedische praktijken (geen fysiotherapie en psychologie) en alternatieve genezers (86.91.9),000030318459
41081034,Verzorgingshuizen (87.30.2),000030318459
41081034,Thuiszorg (88.10.1),000030318459
41081034,Verzorgingshuizen (87.30.2),000043078079
41081095,Algemene ziekenhuizen (86.10.2),000021453144
41081234,Verpleeghuizen (87.10),000022444912
41081766,Verpleeghuizen (87.10),000022397655
41084046,Algemene ziekenhuizen (86.10.2),000022884424
41084046,Algemene ziekenhuizen (86.10.2),000022882723
41084046,Algemene ziekenhuizen (86.10.2),000022882901
41084046,Praktijken van medisch specialisten en medische dagbehandelcentra (geen tandheelkunde of psychiatrie) (86.22.1),000025947702
41084046,Praktijken van medisch specialisten en medische dagbehandelcentra (geen tandheelkunde of psychiatrie) (86.22.1),000035731672
41084046,Categorale ziekenhuizen (86.10.3),000023036893
41085837,Verzorgingshuizen (87.30.2),000031354327
41085837,Verzorgingshuizen (87.30.2),000031354343
41085837,Verzorgingshuizen (87.30.2),000031354319
41085837,Verzorgingshuizen (87.30.2),000031354300
41085837,Verzorgingshuizen (87.30.2),000031354335
41085837,Verpleeghuizen (87.10),000042094763
41085837,Verpleeghuizen (87.10),000031354351
41085837,Verzorgingshuizen (87.30.2),000031354378
41085837,Verzorgingshuizen (87.30.2),000031354289
41085837,Verzorgingshuizen (87.30.2),000031354270
41085837,Verzorgingshuizen (87.30.2),000031354386
41085837,Verpleeghuizen (87.10),000021453616
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000060787511
41085846,Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg (86.22.2),000060787511
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000036457817
41085846,Sociale werkvoorziening (32.99.1),000053765125
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000053766393
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000053765036
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000053765044
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000053765052
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000053765109
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000053765095
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000053765087
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000053768094
41085846,Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg (86.22.2),000053768094
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000036337358
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000036337366
41085846,Sociale werkvoorziening (32.99.1),000053766326
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000053768035
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000053765060
41085846,Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg (86.22.2),000053768043
41085846,Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg (86.22.2),000053768019
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000053766415
41085846,Sociale werkvoorziening (32.99.1),000053765117
41085846,Musea (91.02.1),000053766334
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000053766342
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000053766369
41085846,Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg (86.22.2),000053765028
41085846,Sociale werkvoorziening (32.99.1),000053766350
41085846,Sociale werkvoorziening (32.99.1),000053766318
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000053766407
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000054037905
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000036337331
41085846,Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg (86.22.2),000053768078
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000053766385
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000053768108
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000053765001
41085846,Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg (86.22.2),000053765079
41085846,Restaurants (56.10.1),000053766377
41085846,Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg (86.22.2),000053768086
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000053768051
41085846,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000047903929
41085846,Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg (86.22.2),000047904437
41085846,Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg (86.22.2),000047905352
41085846,Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg (86.22.2),000047928425
41085846,Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg (86.22.2),000047968079
41085846,Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg (86.22.2),000047968141
41086298,Verzorgingshuizen (87.30.2),000028022459
41086298,Verzorgingshuizen (87.30.2),000028024605
41087385,Algemene ziekenhuizen (86.10.2),000027937755
41087385,Gezondheidscentra (86.92.1),000027937755
41087385,"Medische laboratoria, trombosediensten en overig behandelingsondersteunend onderzoek (86.92.4)",000027937755
41087385,Algemene ziekenhuizen (86.10.2),000002709430
41087385,Restaurants (56.10.1),000002709430
41087385,Gezondheidscentra (86.92.1),000002709430
41087534,Basisonderwijs voor leerplichtigen (85.20.1),000000170488
41087534,Speciaal onderwijs in expertisecentra (85.20.3),000000170437
41087534,Categorale ziekenhuizen (86.10.3),000000170429
41087534,Overige administratiekantoren (69.20.9),000000170429
41087534,Uitleenbureaus (78.20.2),000000170429
41087534,Basisonderwijs voor leerplichtigen (85.20.1),000000170429
41087534,Categorale ziekenhuizen (86.10.3),000056775393
41088255,Verzorgingshuizen (87.30.2),000053270924
41088255,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten (86.92.9),000043245536
41088255,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten (86.92.9),000043245544
41088255,Verpleeghuizen (87.10),000049662384
41088255,Verpleeghuizen (87.10),000000213403
41088255,Verzorgingshuizen (87.30.2),000020992459
41088255,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten (86.92.9),000043245579
41088255,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten (86.92.9),000043245501
41088255,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten (86.92.9),000042990130
41088255,Verpleeghuizen (87.10),000056609825
41088255,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten (86.92.9),000043245609
41088255,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten (86.92.9),000043245528
41088255,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten (86.92.9),000043245552
41088255,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten (86.92.9),000043245560
41088255,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten (86.92.9),000043245587
41088255,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten (86.92.9),000043245595
41088260,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000022393552
41088260,Uitleenbureaus (78.20.2),000022393552
41088848,Verpleeghuizen (87.10),000028677129
41088848,Verpleeghuizen (87.10),000028678311
41088848,Verpleeghuizen (87.10),000028677927
41088848,Verpleeghuizen (87.10),000028677935
41088848,Verpleeghuizen (87.10),000028678265
41088848,Verpleeghuizen (87.10),000028677870
41088848,Verpleeghuizen (87.10),000028677919
41088848,Verpleeghuizen (87.10),000028677900
41088848,Verpleeghuizen (87.10),000028678281
41088848,Verpleeghuizen (87.10),000028677862
41088848,Verpleeghuizen (87.10),000044316852
41088848,Verpleeghuizen (87.10),000028677943
41088848,Verpleeghuizen (87.10),000043175570
41088848,Verpleeghuizen (87.10),000028678303
41088848,Verpleeghuizen (87.10),000028678273
41088848,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000050894226
41088848,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000050894242
41088848,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000050894234
41088848,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000050894862
41088848,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000050894218
41089470,"Medische laboratoria, trombosediensten en overig behandelingsondersteunend onderzoek (86.92.4)",000008404569
41089837,Algemene ziekenhuizen (86.10.2),000032153600
41089837,Algemene ziekenhuizen (86.10.2),000032021895
41090962,Verzorgingshuizen (87.30.2),000029989965
41090962,Verzorgingshuizen (87.30.2),000039737039
41090962,Verpleeghuizen (87.10),000039737039
41090962,Verzorgingshuizen (87.30.2),000029595398
41090962,Verpleeghuizen (87.10),000039817393
41090962,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen) (84.12)",000029989973
41090962,Verzorgingshuizen (87.30.2),000022519920
41090962,Verzorgingshuizen (87.30.2),000022519858
41090962,Verpleeghuizen (87.10),000022519858
41090962,Praktijken van fysiotherapeuten (86.91.2),000022519858
41090962,"Praktijken van psychotherapeuten, psychologen en pedagogen (86.91.3)",000022519858
41090962,Overige paramedische praktijken (geen fysiotherapie en psychologie) en alternatieve genezers (86.91.9),000022519858
41090962,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000022519858
41090962,Thuiszorg (88.10.1),000022519858
41090962,Verzorgingshuizen (87.30.2),000022519904
41090962,Verpleeghuizen (87.10),000022519912
41093743,Verzorgingshuizen (87.30.2),000041671910
41093743,Verzorgingshuizen (87.30.2),000027875628
41093743,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten (86.92.9),000027875628
41093743,Verzorgingshuizen (87.30.2),000027874591
41093743,Verzorgingshuizen (87.30.2),000027874354
41093743,Jeugdzorg met overnachting en dagverblijven voor jeugdzorg (87.90.1),000027874354
41093743,Verzorgingshuizen (87.30.2),000027874605
41093743,Praktijken van medisch specialisten en medische dagbehandelcentra (geen tandheelkunde of psychiatrie) (86.22.1),000027874613
41093743,Thuiszorg (88.10.1),000027874613
41093743,Verzorgingshuizen (87.30.2),000027874346
41093743,Jeugdzorg met overnachting en dagverblijven voor jeugdzorg (87.90.1),000027874346
41093743,Verzorgingshuizen (87.30.2),000027873927
41093743,Verzorgingshuizen (87.30.2),000027875199
41093743,Jeugdzorg met overnachting en dagverblijven voor jeugdzorg (87.90.1),000027875199
41093743,Praktijken van medisch specialisten en medische dagbehandelcentra (geen tandheelkunde of psychiatrie) (86.22.1),000028505115
41093743,Preventieve gezondheidszorg (geen arbobegeleiding) (86.92.3),000027875660
41093743,Preventieve gezondheidszorg (geen arbobegeleiding) (86.92.3),000027876462
41093743,Verzorgingshuizen (87.30.2),000040351807
41093743,Verzorgingshuizen (87.30.2),000027874362
41093743,Verzorgingshuizen (87.30.2),000027875180
41093743,Verzorgingshuizen (87.30.2),000051546647
41093743,Verzorgingshuizen (87.30.2),000027874621
41093743,Maatschappelijk opvang met overnachting (87.90.2),000037746030
41093743,Jeugdzorg met overnachting en dagverblijven voor jeugdzorg (87.90.1),000027873714
41093743,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten (86.92.9),000027875636
41093743,Verzorgingshuizen (87.30.2),000027874370
41093743,Verpleeghuizen (87.10),000046592156
41093743,Verzorgingshuizen (87.30.2),000046592156
41093743,Verzorgingshuizen (87.30.2),000032419996
41093743,Verzorgingshuizen (87.30.2),000027873420
41093743,Verpleeghuizen (87.10),000027873420
41093743,Uitleenbureaus (78.20.2),000027873420
41093743,Praktijken van fysiotherapeuten (86.91.2),000000009253
41093743,Praktijken van fysiotherapeuten (86.91.2),000028243358
41093743,Praktijken van fysiotherapeuten (86.91.2),000042330882
41093743,Praktijken van fysiotherapeuten (86.91.2),000028243331
41093743,Praktijken van fysiotherapeuten (86.91.2),000000009261
41093743,Verzorgingshuizen (87.30.2),000027875202
41093743,Preventieve gezondheidszorg (geen arbobegeleiding) (86.92.3),000027877507
41093743,Jeugdzorg met overnachting en dagverblijven voor jeugdzorg (87.90.1),000041133404
41093743,Verzorgingshuizen (87.30.2),000027873919
41093762,Ondersteuning en begeleiding van gehandicapten (88.10.3),000060136855
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139471
41093762,Brede administratieve dienstverlening (82.11),000035454202
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060137142
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060137231
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060137223
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138467
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060137169
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138424
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060136901
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138432
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060137207
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138440
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060137150
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138459
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060137215
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060137185
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060137193
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060137134
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138505
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060140003
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139366
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139390
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139978
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139293
41093762,Brede administratieve dienstverlening (82.11),000060136871
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139927
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139919
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139943
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139900
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139420
41093762,Brede administratieve dienstverlening (82.11),000060136898
41093762,Facility management (81.10),000060136847
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139889
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139897
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139374
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139382
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138947
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138483
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060881984
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139323
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139315
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139307
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139285
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138939
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138912
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139331
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138475
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139455
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138823
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060140046
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138874
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060882018
41093762,Kinderopvang (88.91),000060136820
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060136820
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060881992
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060882026
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139951
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139994
41093762,Brede administratieve dienstverlening (82.11),000060136863
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060140038
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138882
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060136804
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060136812
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060137177
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138491
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138866
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139447
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138831
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138920
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138890
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139463
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138513
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138904
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139439
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139986
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139935
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139404
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060139412
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060138858
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060140011
41093762,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000060136839
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023117001
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000026700778
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023117230
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023113871
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023115092
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023115084
41093769,Kinderopvang (88.91),000029667550
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023114576
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023117516
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000038608464
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023117990
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023112514
41093769,Huizen en dagverblijven voor verstandelijk gehandicapten (87.20),000023112514
41093769,Praktijken van tandartsen (86.23.1),000023112514
41093769,Maatschappelijk opvang met overnachting (87.90.2),000029644739
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023114541
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023114568
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023114592
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023114517
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023117036
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023113839
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023115076
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023117222
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023116862
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023114525
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023118016
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023113855
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023114533
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023113812
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023113790
41093769,Huizen en dagverblijven voor niet-verstandelijk gehandicapten (87.30.1),000023113804
41094118,Verzorgingshuizen (87.30.2),000031814638
41094118,Verzorgingshuizen (87.30.2),000031814557
41094118,Verzorgingshuizen (87.30.2),000031814565
41094118,Verzorgingshuizen (87.30.2),000031818927
41094118,Verzorgingshuizen (87.30.2),000031814573
41094118,Verzorgingshuizen (87.30.2),000031814581
41094118,Verpleeghuizen (87.10),000039017605
41094118,Verzorgingshuizen (87.30.2),000031814549
41094118,Verzorgingshuizen (87.30.2),000031814603
41094118,Verzorgingshuizen (87.30.2),000031814611
41094118,Thuiszorg (88.10.1),000035075902
41094118,Verpleeghuizen (87.10),000030378400
41094118,Verzorgingshuizen (87.30.2),000030378400
41094118,Thuiszorg (88.10.1),000030378400
41095003,Verpleeghuizen (87.10),000032106246
41095003,Verzorgingshuizen (87.30.2),000032106246
41095003,Verpleeghuizen (87.10),000031404537
41095003,Verzorgingshuizen (87.30.2),000031404537
41095003,Verpleeghuizen (87.10),000028572319
41095003,Verpleeghuizen (87.10),000028313364
41095003,Verzorgingshuizen (87.30.2),000028313364
41095003,Verpleeghuizen (87.10),000031404545
41095003,Verzorgingshuizen (87.30.2),000031404545
41095003,Verpleeghuizen (87.10),000028313380
41095003,Verzorgingshuizen (87.30.2),000028313380
41095003,Verpleeghuizen (87.10),000032106254
41095003,Verzorgingshuizen (87.30.2),000032106254
41095003,Verpleeghuizen (87.10),000028572343
41095003,Verpleeghuizen (87.10),000030293391
41095003,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten (86.92.9),000048570982
41095003,Verpleeghuizen (87.10),000030293405
41095003,Verpleeghuizen (87.10),000028572300
41095003,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten (86.92.9),000049086286
41095003,Verpleeghuizen (87.10),000028572327
41095003,Verpleeghuizen (87.10),000028313356
41095003,Verzorgingshuizen (87.30.2),000028313356
41095003,Verpleeghuizen (87.10),000028313372
41095003,Verzorgingshuizen (87.30.2),000028313372
41095003,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten (86.92.9),000048670286
41095003,Verpleeghuizen (87.10),000028313348
41095003,Verzorgingshuizen (87.30.2),000028313348
41095003,Verpleeghuizen (87.10),000028313321
41095003,Verzorgingshuizen (87.30.2),000028313321
41095003,Verpleeghuizen (87.10),000030293383
41095003,Verpleeghuizen (87.10),000031404553
41095003,Verzorgingshuizen (87.30.2),000031404553
41095003,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten (86.92.9),000057377464
41095003,Verpleeghuizen (87.10),000028572335
41095003,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten (86.92.9),000023554142
